school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested
The Manhattan Academy for Medicine (Bldg 72),Manhattan,M581,403.0,486.0,524.0,62.5
Technology Collegiate of Brooklyn - Campus 73,Brooklyn,K287,492.0,735.0,,70.2
Arts School for of Brooklyn - Campus 74,Brooklyn,K236,550.0,699.0,410.0,81.0
The Brooklyn Academy for Medicine (Bldg 75),Brooklyn,K049,493.0,735.0,676.0,45.8
Arts Preparatory Academy of Queens - Campus 76,Queens,Q954,663.0,591.0,482.0,93.0
The Bronx Academy for Technology (Bldg 77),Bronx,X308,364.0,720.0,519.0,
The Manhattan High School for Business (Bldg 78),Manhattan,M753,557.0,606.0,708.0,78.7
Business School for of Staten Island - Campus 79,Staten Island,R854,605.0,484.0,375.0,59.3
Technology Preparatory Academy of Manhattan - Campus 80,Manhattan,M693,,369.0,562.0,66.5
Humanities Preparatory Academy of Brooklyn - Campus 81,Brooklyn,K629,365.0,758.0,638.0,41.7
Medicine Institute of Technology of Manhattan - Campus 82,Manhattan,M982,374.0,485.0,715.0,89.9
The Manhattan Academy for Law (Bldg 83),Manhattan,M260,617.0,731.0,407.0,84.6
Leadership Preparatory Academy of Bronx - Campus 84,Bronx,X161,678.0,445.0,705.0,81.5
Global Studies Academy of Queens - Campus 85,Queens,Q736,707.0,515.0,674.0,42.4
The Manhattan Collegiate for Mathematics (Bldg 86),Manhattan,M582,618.0,402.0,701.0,51.9
The Manhattan School for for Humanities (Bldg 87),Manhattan,M659,387.0,666.0,427.0,90.2
Medicine School for of Staten Island - Campus 88,Staten Island,R038,431.0,732.0,423.0,89.6
Science Institute of Technology of Bronx - Campus 89,Bronx,X555,625.0,472.0,689.0,60.1
Technology Preparatory Academy of Bronx - Campus 90,Bronx,X412,635.0,482.0,388.0,70.6
Leadership Preparatory Academy of Bronx - Campus 91,Bronx,X026,650.0,520.0,,40.5
Law Institute of Technology of Bronx - Campus 92,Bronx,X956,476.0,,548.0,81.5
Humanities Academy of Queens - Campus 93,Queens,Q792,577.0,600.0,588.0,73.8
The Bronx School for for Mathematics (Bldg 94),Bronx,X416,,685.0,493.0,73.7
The Manhattan Academy for Humanities (Bldg 95),Manhattan,M455,586.0,528.0,527.0,65.7
The Staten Island Collegiate for Arts (Bldg 96),Staten Island,R611,407.0,394.0,504.0,70.6
The Bronx Preparatory Academy for Business (Bldg 97),Bronx,X487,527.0,481.0,667.0,87.7
The Queens Collegiate for Law (Bldg 98),Queens,Q074,742.0,671.0,739.0,44.5
The Staten Island Collegiate for Humanities (Bldg 99),Staten Island,R553,532.0,601.0,554.0,53.1
Law Academy of Brooklyn - Campus 100,Brooklyn,K540,768.0,392.0,,99.8
Arts Preparatory Academy of Queens - Campus 101,Queens,Q277,618.0,520.0,551.0,70.9
The Bronx School for for Leadership (Bldg 102),Bronx,X408,557.0,601.0,731.0,90.2
The Bronx Institute of Technology for Medicine (Bldg 103),Bronx,X962,356.0,518.0,371.0,51.1
The Queens Preparatory Academy for Business (Bldg 104),Queens,Q998,620.0,480.0,483.0,84.6
The Manhattan School for for Leadership (Bldg 105),Manhattan,M469,760.0,668.0,553.0,57.6
Humanities School for of Bronx - Campus 106,Bronx,X264,638.0,,599.0,
The Queens Collegiate for Medicine (Bldg 107),Queens,Q118,766.0,472.0,618.0,98.7
The Brooklyn Collegiate for Law (Bldg 108),Brooklyn,K837,427.0,485.0,657.0,87.7
Arts Academy of Staten Island - Campus 109,Staten Island,R060,701.0,654.0,391.0,88.4
The Brooklyn School for for Law (Bldg 110),Brooklyn,K906,549.0,392.0,662.0,97.0
Leadership Academy of Bronx - Campus 111,Bronx,X102,685.0,560.0,661.0,45.9
Global Studies Academy of Brooklyn - Campus 112,Brooklyn,K903,428.0,449.0,608.0,53.6
Business Institute of Technology of Staten Island - Campus 113,Staten Island,R687,376.0,426.0,433.0,64.1
Arts High School of Bronx - Campus 114,Bronx,X376,415.0,471.0,451.0,41.6
Arts Collegiate of Queens - Campus 115,Queens,Q125,595.0,470.0,579.0,80.0
Global Studies High School of Queens - Campus 116,Queens,Q214,474.0,477.0,495.0,
The Manhattan High School for Humanities (Bldg 117),Manhattan,M562,400.0,697.0,663.0,89.0
Global Studies Preparatory Academy of Bronx - Campus 118,Bronx,X976,564.0,392.0,667.0,94.5
The Queens Preparatory Academy for Medicine (Bldg 119),Queens,Q349,703.0,617.0,,70.3
Leadership Collegiate of Staten Island - Campus 120,Staten Island,R769,753.0,680.0,688.0,62.0
The Bronx Academy for Humanities (Bldg 121),Bronx,X659,687.0,517.0,714.0,89.5
Business Academy of Bronx - Campus 122,Bronx,X553,766.0,479.0,593.0,96.4
Mathematics Collegiate of Manhattan - Campus 123,Manhattan,M091,479.0,690.0,565.0,57.2
Technology Collegiate of Manhattan - Campus 124,Manhattan,M609,463.0,,437.0,43.4
The Staten Island Institute of Technology for Arts (Bldg 125),Staten Island,R808,713.0,494.0,355.0,
The Queens Academy for Technology (Bldg 126),Queens,Q225,731.0,489.0,721.0,82.4
Law Collegiate of Manhattan - Campus 127,Manhattan,M311,644.0,542.0,509.0,99.4
Leadership Preparatory Academy of Queens - Campus 128,Queens,Q307,746.0,,,76.7
Law Institute of Technology of Queens - Campus 129,Queens,Q060,552.0,509.0,503.0,57.7
Technology Institute of Technology of Queens - Campus 130,Queens,Q561,662.0,436.0,624.0,80.1
Global Studies School for of Queens - Campus 131,Queens,Q823,471.0,430.0,357.0,87.1
Business Institute of Technology of Brooklyn - Campus 132,Brooklyn,K537,561.0,683.0,435.0,43.9
Global Studies Institute of Technology of Brooklyn - Campus 133,Brooklyn,K372,512.0,,533.0,41.9
The Queens School for for Law (Bldg 134),Queens,Q777,506.0,419.0,554.0,82.8
Global Studies Institute of Technology of Bronx - Campus 135,Bronx,X973,744.0,480.0,735.0,66.4
Global Studies School for of Manhattan - Campus 136,Manhattan,M711,412.0,757.0,446.0,80.1
Law Institute of Technology of Brooklyn - Campus 137,Brooklyn,K687,765.0,654.0,579.0,67.3
Business Collegiate of Manhattan - Campus 138,Manhattan,M825,746.0,367.0,422.0,92.9
The Manhattan Collegiate for Law (Bldg 139),Manhattan,M463,571.0,404.0,435.0,48.8
Leadership Academy of Bronx - Campus 140,Bronx,X017,767.0,659.0,685.0,79.6
The Bronx Academy for Leadership (Bldg 141),Bronx,X445,588.0,621.0,745.0,86.8
The Staten Island Preparatory Academy for Humanities (Bldg 142),Staten Island,R358,694.0,,455.0,75.9
Business Collegiate of Brooklyn - Campus 143,Brooklyn,K361,750.0,582.0,626.0,60.5
Global Studies School for of Brooklyn - Campus 144,Brooklyn,K513,510.0,627.0,603.0,45.0
The Brooklyn School for for Medicine (Bldg 145),Brooklyn,K133,683.0,381.0,605.0,51.3
Science High School of Bronx - Campus 146,Bronx,X717,469.0,420.0,452.0,69.8
The Queens High School for Medicine (Bldg 147),Queens,Q405,497.0,647.0,,74.9
Humanities Preparatory Academy of Brooklyn - Campus 148,Brooklyn,K311,511.0,564.0,369.0,63.8
Business Collegiate of Queens - Campus 149,Queens,Q931,610.0,434.0,407.0,84.4
Business School for of Brooklyn - Campus 150,Brooklyn,K358,564.0,714.0,736.0,76.6
Humanities High School of Queens - Campus 151,Queens,Q764,476.0,463.0,430.0,74.2
The Bronx School for for Science (Bldg 152),Bronx,X661,709.0,428.0,396.0,59.2
The Brooklyn Institute of Technology for Global Studies (Bldg 153),Brooklyn,K656,,362.0,417.0,90.9
Humanities Academy of Staten Island - Campus 154,Staten Island,R297,440.0,720.0,502.0,98.8
The Staten Island Academy for Arts (Bldg 155),Staten Island,R256,,464.0,365.0,77.1
The Queens Preparatory Academy for Medicine (Bldg 156),Queens,Q073,400.0,699.0,534.0,97.0
Technology Academy of Manhattan - Campus 157,Manhattan,M374,641.0,543.0,552.0,79.2
Humanities Preparatory Academy of Queens - Campus 158,Queens,Q624,704.0,732.0,685.0,70.3
The Staten Island School for for Leadership (Bldg 159),Staten Island,R930,408.0,,615.0,63.5
Business Preparatory Academy of Brooklyn - Campus 160,Brooklyn,K042,666.0,390.0,648.0,95.1
Global Studies School for of Bronx - Campus 161,Bronx,X622,676.0,518.0,690.0,82.5
Business Preparatory Academy of Bronx - Campus 162,Bronx,X138,375.0,609.0,682.0,80.1
Humanities Institute of Technology of Queens - Campus 163,Queens,Q859,383.0,632.0,572.0,44.8
Technology School for of Bronx - Campus 164,Bronx,X214,568.0,720.0,693.0,47.8
The Queens Institute of Technology for Global Studies (Bldg 165),Queens,Q907,409.0,500.0,397.0,79.5
The Staten Island Preparatory Academy for Humanities (Bldg 166),Staten Island,R919,404.0,612.0,425.0,96.4
The Manhattan Preparatory Academy for Law (Bldg 167),Manhattan,M351,366.0,676.0,688.0,49.9
Business Institute of Technology of Queens - Campus 168,Queens,Q801,618.0,538.0,402.0,97.0
Mathematics School for of Staten Island - Campus 169,Staten Island,R587,545.0,409.0,743.0,47.6
The Staten Island Preparatory Academy for Science (Bldg 170),Staten Island,R312,551.0,715.0,631.0,45.6
Technology School for of Bronx - Campus 171,Bronx,X594,745.0,677.0,618.0,85.0
Arts Preparatory Academy of Staten Island - Campus 172,Staten Island,R331,557.0,388.0,481.0,58.6
The Bronx Institute of Technology for Law (Bldg 173),Bronx,X990,485.0,601.0,458.0,84.3
Science Academy of Staten Island - Campus 174,Staten Island,R017,646.0,582.0,628.0,94.3
The Bronx Academy for Humanities (Bldg 175),Bronx,X069,653.0,403.0,388.0,52.7
The Queens High School for Leadership (Bldg 176),Queens,Q612,738.0,,530.0,58.1
The Staten Island Institute of Technology for Mathematics (Bldg 177),Staten Island,R730,731.0,607.0,705.0,41.6
Humanities Institute of Technology of Manhattan - Campus 178,Manhattan,M325,,526.0,511.0,60.5
Arts Collegiate of Bronx - Campus 179,Bronx,X892,500.0,425.0,567.0,90.4
Technology School for of Brooklyn - Campus 180,Brooklyn,K373,715.0,674.0,444.0,68.4
Humanities School for of Queens - Campus 181,Queens,Q941,534.0,721.0,675.0,98.3
The Queens Institute of Technology for Technology (Bldg 182),Queens,Q901,368.0,431.0,736.0,93.3
Humanities School for of Queens - Campus 183,Queens,Q157,352.0,513.0,490.0,47.3
Global Studies School for of Staten Island - Campus 184,Staten Island,R385,607.0,405.0,516.0,67.6
Technology Collegiate of Queens - Campus 185,Queens,Q723,661.0,429.0,606.0,57.8
The Queens Collegiate for Business (Bldg 186),Queens,Q038,520.0,609.0,521.0,98.0
The Queens Preparatory Academy for Global Studies (Bldg 187),Queens,Q624,698.0,700.0,564.0,42.5
Science Academy of Brooklyn - Campus 188,Brooklyn,K603,514.0,647.0,,77.0
Business Academy of Staten Island - Campus 189,Staten Island,R668,441.0,697.0,686.0,80.4
Leadership Preparatory Academy of Bronx - Campus 190,Bronx,X056,630.0,558.0,504.0,70.9
Business School for of Brooklyn - Campus 191,Brooklyn,K204,584.0,408.0,471.0,74.7
Mathematics High School of Brooklyn - Campus 192,Brooklyn,K532,486.0,704.0,484.0,50.1
Leadership Institute of Technology of Queens - Campus 193,Queens,Q092,687.0,,608.0,41.9
Law Preparatory Academy of Bronx - Campus 194,Bronx,X102,375.0,486.0,455.0,46.4
Law High School of Bronx - Campus 195,Bronx,X137,473.0,567.0,403.0,80.9
Mathematics Collegiate of Manhattan - Campus 196,Manhattan,M785,429.0,739.0,541.0,89.0
The Staten Island Institute of Technology for Global Studies (Bldg 197),Staten Island,R885,496.0,535.0,649.0,97.8
Global Studies Institute of Technology of Queens - Campus 198,Queens,Q151,622.0,643.0,399.0,88.5
Mathematics High School of Brooklyn - Campus 199,Brooklyn,K611,704.0,643.0,555.0,43.6
The Queens School for for Law (Bldg 200),Queens,Q987,560.0,490.0,458.0,56.7
Arts School for of Staten Island - Campus 201,Staten Island,R942,543.0,411.0,747.0,74.2
Technology Institute of Technology of Bronx - Campus 202,Bronx,X132,681.0,612.0,513.0,96.0
The Staten Island Academy for Technology (Bldg 203),Staten Island,R775,645.0,577.0,681.0,97.7
Business School for of Queens - Campus 204,Queens,Q091,734.0,370.0,713.0,42.2
Arts Preparatory Academy of Brooklyn - Campus 205,Brooklyn,K929,669.0,599.0,654.0,45.8
Business Institute of Technology of Staten Island - Campus 206,Staten Island,R474,720.0,366.0,621.0,51.0
The Bronx School for for Medicine (Bldg 207),Bronx,X314,627.0,495.0,562.0,67.4
The Brooklyn Collegiate for Humanities (Bldg 208),Brooklyn,K680,428.0,432.0,535.0,72.4
The Bronx School for for Technology (Bldg 209),Bronx,X609,363.0,731.0,685.0,61.5
The Staten Island High School for Mathematics (Bldg 210),Staten Island,R261,507.0,592.0,687.0,78.6
Global Studies Academy of Bronx - Campus 211,Bronx,X044,579.0,406.0,521.0,67.0
Leadership Preparatory Academy of Queens - Campus 212,Queens,Q323,355.0,629.0,358.0,69.5
Global Studies Institute of Technology of Queens - Campus 213,Queens,Q657,761.0,519.0,562.0,44.9
The Brooklyn Institute of Technology for Technology (Bldg 214),Brooklyn,K272,681.0,651.0,569.0,51.8
The Staten Island Institute of Technology for Mathematics (Bldg 215),Staten Island,R442,430.0,539.0,711.0,68.1
The Bronx Academy for Law (Bldg 216),Bronx,X274,704.0,481.0,443.0,76.0
Business Preparatory Academy of Manhattan - Campus 217,Manhattan,M335,739.0,488.0,423.0,68.4
The Staten Island Preparatory Academy for Science (Bldg 218),Staten Island,R662,614.0,720.0,512.0,97.6
Science School for of Brooklyn - Campus 219,Brooklyn,K839,390.0,605.0,600.0,50.1
Global Studies Preparatory Academy of Brooklyn - Campus 220,Brooklyn,K068,737.0,423.0,676.0,99.0
The Staten Island Preparatory Academy for Business (Bldg 221),Staten Island,R680,385.0,501.0,733.0,50.4
Medicine Collegiate of Manhattan - Campus 222,Manhattan,M608,446.0,618.0,441.0,62.0
The Staten Island Collegiate for Global Studies (Bldg 223),Staten Island,R738,596.0,560.0,731.0,76.2
The Queens High School for Technology (Bldg 224),Queens,Q278,489.0,604.0,597.0,98.5
Science Collegiate of Bronx - Campus 225,Bronx,X669,,397.0,696.0,
The Brooklyn High School for Global Studies (Bldg 226),Brooklyn,K300,754.0,756.0,351.0,53.1
Business School for of Manhattan - Campus 227,Manhattan,M611,643.0,367.0,460.0,74.3
Law Collegiate of Brooklyn - Campus 228,Brooklyn,K896,356.0,597.0,497.0,85.2
The Bronx Academy for Humanities (Bldg 229),Bronx,X879,611.0,558.0,389.0,66.1
The Brooklyn Preparatory Academy for Business (Bldg 230),Brooklyn,K415,410.0,383.0,364.0,41.6
The Staten Island School for for Science (Bldg 231),Staten Island,R483,410.0,744.0,457.0,79.9
The Manhattan Institute of Technology for Business (Bldg 232),Manhattan,M822,563.0,759.0,553.0,
The Queens Academy for Science (Bldg 233),Queens,Q153,647.0,510.0,741.0,98.6
The Queens Institute of Technology for Humanities (Bldg 234),Queens,Q798,583.0,654.0,724.0,47.3
The Manhattan Collegiate for Science (Bldg 235),Manhattan,M973,503.0,530.0,409.0,74.8
Law Preparatory Academy of Queens - Campus 236,Queens,Q360,726.0,520.0,590.0,51.7
The Staten Island Academy for Science (Bldg 237),Staten Island,R905,625.0,,513.0,57.7
Medicine School for of Brooklyn - Campus 238,Brooklyn,K843,351.0,555.0,425.0,79.2
Global Studies Academy of Queens - Campus 239,Queens,Q241,498.0,594.0,718.0,63.8
The Manhattan Collegiate for Law (Bldg 240),Manhattan,M445,,,606.0,81.1
Global Studies High School of Brooklyn - Campus 241,Brooklyn,K843,503.0,614.0,467.0,52.0
Humanities School for of Staten Island - Campus 242,Staten Island,R590,458.0,698.0,450.0,92.3
Science Academy of Staten Island - Campus 243,Staten Island,R934,516.0,477.0,599.0,53.8
The Staten Island Institute of Technology for Mathematics (Bldg 244),Staten Island,R536,595.0,602.0,625.0,89.8
Law Preparatory Academy of Manhattan - Campus 245,Manhattan,M037,,733.0,,51.9
Business Preparatory Academy of Brooklyn - Campus 246,Brooklyn,K647,613.0,385.0,739.0,
The Bronx Collegiate for Science (Bldg 247),Bronx,X522,510.0,396.0,550.0,93.7
The Manhattan High School for Science (Bldg 248),Manhattan,M297,672.0,408.0,646.0,66.1
Science Institute of Technology of Manhattan - Campus 249,Manhattan,M161,510.0,,373.0,84.6
The Brooklyn Preparatory Academy for Technology (Bldg 250),Brooklyn,K607,450.0,497.0,750.0,86.8
Global Studies High School of Manhattan - Campus 251,Manhattan,M077,773.0,649.0,622.0,79.6
The Bronx Academy for Science (Bldg 252),Bronx,X855,707.0,462.0,440.0,74.7
The Staten Island Collegiate for Medicine (Bldg 253),Staten Island,R190,693.0,,701.0,68.8
The Manhattan Collegiate for Business (Bldg 254),Manhattan,M553,630.0,433.0,,69.3
Global Studies Academy of Manhattan - Campus 255,Manhattan,M505,418.0,587.0,738.0,53.4
The Bronx High School for Global Studies (Bldg 256),Bronx,X682,745.0,384.0,575.0,88.1
The Staten Island Collegiate for Mathematics (Bldg 257),Staten Island,R233,373.0,603.0,390.0,87.0
The Staten Island Collegiate for Science (Bldg 258),Staten Island,R710,711.0,565.0,457.0,59.7
Arts Institute of Technology of Bronx - Campus 259,Bronx,X762,720.0,577.0,747.0,90.2
The Staten Island Collegiate for Global Studies (Bldg 260),Staten Island,R936,764.0,501.0,741.0,44.5
The Staten Island High School for Law (Bldg 261),Staten Island,R768,685.0,583.0,706.0,87.9
Technology Collegiate of Manhattan - Campus 262,Manhattan,M022,677.0,507.0,425.0,70.6
Law Institute of Technology of Manhattan - Campus 263,Manhattan,M759,702.0,560.0,590.0,53.8
Global Studies High School of Brooklyn - Campus 264,Brooklyn,K476,724.0,388.0,424.0,81.4
The Bronx Academy for Technology (Bldg 265),Bronx,X231,602.0,412.0,506.0,48.6
Technology High School of Manhattan - Campus 266,Manhattan,M219,540.0,732.0,696.0,87.1
The Brooklyn Collegiate for Mathematics (Bldg 267),Brooklyn,K942,680.0,422.0,456.0,76.9
Humanities Institute of Technology of Bronx - Campus 268,Bronx,X725,683.0,394.0,457.0,61.3
Science Preparatory Academy of Staten Island - Campus 269,Staten Island,R041,753.0,601.0,400.0,50.4
The Brooklyn High School for Science (Bldg 270),Brooklyn,K386,367.0,659.0,746.0,71.4
Business High School of Bronx - Campus 271,Bronx,X108,,509.0,410.0,92.1
The Manhattan Academy for Humanities (Bldg 272),Manhattan,M852,603.0,,388.0,52.4
Leadership Academy of Bronx - Campus 273,Bronx,X058,716.0,685.0,737.0,47.5
The Queens Academy for Humanities (Bldg 274),Queens,Q937,617.0,505.0,447.0,96.4
Law School for of Staten Island - Campus 275,Staten Island,R497,779.0,568.0,732.0,88.8
Technology High School of Manhattan - Campus 276,Manhattan,M432,478.0,600.0,421.0,99.1
The Queens High School for Science (Bldg 277),Queens,Q469,516.0,501.0,,86.0
Law High School of Staten Island - Campus 278,Staten Island,R213,562.0,495.0,455.0,79.2
The Staten Island High School for Mathematics (Bldg 279),Staten Island,R870,368.0,688.0,550.0,66.5
The Brooklyn High School for Science (Bldg 280),Brooklyn,K973,570.0,634.0,506.0,43.3
The Queens Preparatory Academy for Medicine (Bldg 281),Queens,Q960,759.0,386.0,718.0,78.8
Science Institute of Technology of Brooklyn - Campus 282,Brooklyn,K715,747.0,722.0,605.0,94.4
Arts School for of Staten Island - Campus 283,Staten Island,R509,706.0,500.0,468.0,51.3
Leadership School for of Queens - Campus 284,Queens,Q617,713.0,706.0,644.0,94.1
The Brooklyn Collegiate for Medicine (Bldg 285),Brooklyn,K369,570.0,448.0,642.0,73.8
The Manhattan Collegiate for Arts (Bldg 286),Manhattan,M888,,467.0,670.0,92.7
Science High School of Queens - Campus 287,Queens,Q038,600.0,551.0,507.0,87.1
Arts Preparatory Academy of Brooklyn - Campus 288,Brooklyn,K073,456.0,560.0,,49.4
The Queens Preparatory Academy for Business (Bldg 289),Queens,Q857,,417.0,,99.3
Arts Academy of Bronx - Campus 290,Bronx,X054,709.0,597.0,718.0,86.3
Technology Preparatory Academy of Manhattan - Campus 291,Manhattan,M906,597.0,405.0,478.0,90.0
Law High School of Staten Island - Campus 292,Staten Island,R070,375.0,424.0,616.0,64.9
Business Collegiate of Staten Island - Campus 293,Staten Island,R501,573.0,,533.0,77.6
The Bronx High School for Medicine (Bldg 294),Bronx,X962,420.0,473.0,439.0,68.6
Business School for of Brooklyn - Campus 295,Brooklyn,K935,627.0,442.0,595.0,42.6
The Staten Island Academy for Law (Bldg 296),Staten Island,R150,666.0,712.0,467.0,78.3
Mathematics School for of Queens - Campus 297,Queens,Q817,636.0,599.0,657.0,52.0
The Bronx Institute of Technology for Law (Bldg 298),Bronx,X908,648.0,755.0,390.0,68.0
Humanities High School of Brooklyn - Campus 299,Brooklyn,K260,545.0,629.0,519.0,74.6
Law Institute of Technology of Bronx - Campus 300,Bronx,X147,661.0,460.0,590.0,62.6
Law High School of Brooklyn - Campus 301,Brooklyn,K848,444.0,649.0,523.0,92.6
The Bronx School for for Mathematics (Bldg 302),Bronx,X184,716.0,585.0,417.0,83.3
Technology Preparatory Academy of Manhattan - Campus 303,Manhattan,M511,505.0,482.0,634.0,87.3
Global Studies Collegiate of Manhattan - Campus 304,Manhattan,M862,716.0,691.0,622.0,70.6
